"id","observed_on","taxon.name","Latitude","Longitude","uri","Evidence_of_Presence","Gall_phenophase","Host_Plant_ID","agdd","phenogen"
8639391,"2017-10-31","Andricus coortus","34.281944503","-118.605509698","https://www.inaturalist.org/observations/8639391","Gall","developing","57082",10790.1816406,"developing_"
11776905,"2018-04-28","Andricus coortus","37.8934033333","-121.939645","https://www.inaturalist.org/observations/11776905","Gall","developing","56796",1817.08117676,"developing_"
27196435,"2019-05-20","Andricus coortus","42.0056277833","-122.187775","https://www.inaturalist.org/observations/27196435","Gall","developing","",1774.6003418,"developing_"
34164456,"2019-10-09","Andricus coortus","37.3500966667","-122.15545","https://www.inaturalist.org/observations/34164456","Gall","senescent","57082",8015.91894531,"senescent_"
76429759,"2021-05-01","Andricus coortus","39.2972","-121.0841833333","https://www.inaturalist.org/observations/76429759","Gall","developing","",2066.99291992,"developing_"
78437121,"2021-05-11","Andricus coortus","42.160720825","-122.6184539794","https://www.inaturalist.org/observations/78437121","Gall","developing","68632",1773.96166992,"developing_"
78671973,"2021-05-13","Andricus coortus","42.0952339172","-123.6836166381","https://www.inaturalist.org/observations/78671973","Gall","developing","68632",1774.15100098,"developing_"
82825695,"2021-05-27","Andricus coortus","33.8131166667","-116.7723616667","https://www.inaturalist.org/observations/82825695","Gall","developing","57082",2095.3972168,"developing_"
89854527,"2021-07-31","Andricus coortus","39.5833310321","-123.3850751043","https://www.inaturalist.org/observations/89854527","Gall","developing","68632",5013.57373047,"developing_"
100974705,"2021-10-16","Andricus coortus","36.94881","-119.210171","https://www.inaturalist.org/observations/100974705","Gall","developing","",9221.87207031,"developing_"
100974708,"2021-10-16","Andricus coortus","36.948766","-119.210191","https://www.inaturalist.org/observations/100974708","Gall","developing","",9221.87207031,"developing_"
102113552,"2021-11-27","Andricus coortus","41.952188172","-122.4377184822","https://www.inaturalist.org/observations/102113552","Gall","developing","68632",7662.83251953,"developing_"
102113553,"2021-11-27","Andricus coortus","41.952188172","-122.4377184822","https://www.inaturalist.org/observations/102113553","Gall","developing","68632",7662.83251953,"developing_"
102131236,"2021-11-27","Andricus coortus","41.9499375367","-122.4386411621","https://www.inaturalist.org/observations/102131236","Gall","senescent","68632",7648.30664062,"senescent_"
102133121,"2021-11-27","Andricus coortus","41.9731026115","-122.4348002388","https://www.inaturalist.org/observations/102133121","Gall","senescent","68632",7519.29833984,"senescent_"
102133122,"2021-11-27","Andricus coortus","41.9731026115","-122.4348002388","https://www.inaturalist.org/observations/102133122","Gall","developing","68632",7519.29833984,"developing_"
102133126,"2021-11-27","Andricus coortus","41.9731026115","-122.4348002388","https://www.inaturalist.org/observations/102133126","Gall","developing","68632",7519.29833984,"developing_"
102774363,"2021-12-05","Andricus coortus","33.215565","-116.587395","https://www.inaturalist.org/observations/102774363","Gall","developing","",10153.4326172,"developing_"
106589964,"2022-02-11","Andricus coortus","39.806145","-121.7140966667","https://www.inaturalist.org/observations/106589964","Gall","perimature","",894.52734375,"perimature_"
108875523,"2022-03-17","Andricus coortus","44.9278055556","-123.0371861111","https://www.inaturalist.org/observations/108875523","Gall","senescent","68632",824.210266113,"senescent_"
110698189,"2022-04-07","Andricus coortus","44.9279444444","-123.0376666667","https://www.inaturalist.org/observations/110698189","Organism; Gall","maturing","68632",1206.14306641,"maturing_"
112612003,"2022-04-23","Andricus coortus","45.0238583333","-123.1479888889","https://www.inaturalist.org/observations/112612003","Gall","senescent","68632",1366.92810059,"senescent_"
118613981,"2022-05-24","Andricus coortus","45.71917","-122.8181833333","https://www.inaturalist.org/observations/118613981","Gall","developing","68632",2064.0859375,"developing_"
119125495,"2022-05-28","Andricus coortus","47.1873133333","-122.4767533333","https://www.inaturalist.org/observations/119125495","Gall","developing","68632",1863.90722656,"developing_"
120005730,"2022-06-02","Andricus coortus","44.9279366667","-123.0375583333","https://www.inaturalist.org/observations/120005730","Gall","developing","68632",2289.42675781,"developing_"
