"id","observed_on","taxon.name","Latitude","Longitude","uri","Evidence_of_Presence","Life_Stage","Gall_phenophase","Host_Plant_ID","agdd","phenogen"
35553606,"2019-10-13","Andricus stropus","32.9608980652","-97.2300109867","https://www.inaturalist.org/observations/35553606","Gall","","developing","119269",10469.5107422,"developing_"
61309496,"2020-09-30","Andricus stropus","40.0460055","-83.478705","https://www.inaturalist.org/observations/61309496","Gall","","developing","119269",6579.81689453,"developing_"
64626937,"2020-11-10","Andricus stropus","38.8016460657","-77.4282545058","https://www.inaturalist.org/observations/64626937","Gall","","developing","119269",8933.6015625,"developing_"
64626939,"2020-11-10","Andricus stropus","38.8016460657","-77.4282545058","https://www.inaturalist.org/observations/64626939","Gall","","developing","119269",8933.6015625,"developing_"
88591897,"2021-07-25","Andricus stropus","39.9410866667","-83.288795","https://www.inaturalist.org/observations/88591897","Gall","","developing","119269",4148.30615234,"developing_"
88758080,"2021-07-15","Andricus stropus","32.8852336028","-97.1838360343","https://www.inaturalist.org/observations/88758080","Organism","Larva","developing","119269",5991.85742188,"developing_Larva"
88758082,"2021-07-15","Andricus stropus","32.8852336028","-97.1838360343","https://www.inaturalist.org/observations/88758082","Gall","","developing","119269",5991.85742188,"developing_"
90418256,"2021-08-08","Andricus stropus","38.8727314045","-77.4934768626","https://www.inaturalist.org/observations/90418256","Gall","","developing","119269",5419.45751953,"developing_"
92175877,"2021-08-22","Andricus stropus","38.837775","-83.5768133333","https://www.inaturalist.org/observations/92175877","Gall","","developing","119269",5544.56494141,"developing_"
92831307,"2021-08-28","Andricus stropus","38.8026826511","-77.426134243","https://www.inaturalist.org/observations/92831307","Gall","","developing","119269",6478.47753906,"developing_"
93504093,"2021-09-03","Andricus stropus","38.8604680343","-77.3249867877","https://www.inaturalist.org/observations/93504093","Gall","","developing","119269",6676.18798828,"developing_"
94437026,"2021-09-11","Andricus stropus","37.0839945","-88.63852","https://www.inaturalist.org/observations/94437026","Gall","","developing","119269",7460.56542969,"developing_"
94512416,"2021-09-11","Andricus stropus","38.839145","-83.5755116667","https://www.inaturalist.org/observations/94512416","Gall","","developing","",6354.83447266,"developing_"
97204988,"2021-10-04","Andricus stropus","35.090895","-92.465766","https://www.inaturalist.org/observations/97204988","Gall","","perimature","82754",9021.31933594,"perimature_"
97793618,"2021-10-10","Andricus stropus","36.1101833258","-79.9925134141","https://www.inaturalist.org/observations/97793618","Gall","","developing","119269",8444.83203125,"developing_"
